Campaña,Coste,% Δ,CTR,% Δ,Clics,% Δ,Conv,% Δ,Cos/con,% Δ
IDG_AQUARIUSCONSULTING_PE_SKAG-ACTIVOSFIJOS,1113.19,1.729,0.065,-0.725,1885,1.118,69,0.255,16.13,1.175
IDG_AQUARIUSCONSULTING_PE_SKAG-ALMACENAMIENTO,527.80,1.892,0.0959,0.168,297,-0.029,38,0.583,13.89,0.826
IDG_AQUARIUSCONSULTING_PE_SKAG-VALUACIONESCOMERCIALES,91.09,0.122,0.0764,0.086,68,-0.299,6,-0.455,15.18,1.057
IDG_AQUARIUSCONSULTING_PE_SKAG-OUTSOURCINGDEALMACENES,74.16,-0.800,0.0909,-0.294,40,-0.923,12,-0.333,6.18,-0.700
IDG_AQUARIUSCONSULTING_PE_SKAG-GESTIONLOGISTICA,48.61,-0.806,0.0919,-0.038,35,-0.917,4,-0.907,12.15,1.084
