Fecha,Impresiones
"sáb, 1 ago 2026",1.234
"dom, 2 ago 2026",1.164
"lun, 3 ago 2026",1.323
"mar, 4 ago 2026",1.136
"mié, 5 ago 2026",1.392
"jue, 6 ago 2026",832
"vie, 7 ago 2026",1.235
"sáb, 8 ago 2026",1.172
"dom, 9 ago 2026",1.058
"lun, 10 ago 2026",1.341
"mar, 11 ago 2026",1.446
"mié, 12 ago 2026",1.924
"jue, 13 ago 2026",1.568
"vie, 14 ago 2026",1.202
"sáb, 15 ago 2026",593
"dom, 16 ago 2026",500
"lun, 17 ago 2026",1.386
"mar, 18 ago 2026",1.044
"mié, 19 ago 2026",880
"jue, 20 ago 2026",755
"vie, 21 ago 2026",759
"sáb, 22 ago 2026",993
"dom, 23 ago 2026",599
"lun, 24 ago 2026",677
"mar, 25 ago 2026",664
"mié, 26 ago 2026",1.623
"jue, 27 ago 2026",992
"vie, 28 ago 2026",1.289
"sáb, 29 ago 2026",923
"dom, 30 ago 2026",933
"lun, 31 ago 2026",1.191
