Informe de campaña
1 de septiembre de 2026 - 21 de septiembre de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre de presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Tipo de campaña,Coste,Impr.,CTR,CPC medio,Clics,Conversiones,Coste/conv.,Nivel de optimización
Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"1700,36",7.915,"7,91%","2,72",626,"51,00","33,34","96,71"
Total: Campañas, --, --, --, --,PEN, --,, --,"1700,36",7.915,"7,91%","2,72",626,"51,00","33,34", --
Total: Cuenta,,,,,PEN,,,,"1825,24",7.974,"8,05%","2,84",642,"51,00","35,79",
Total: Buscar,,,,,PEN,,,Buscar,"1825,24",7.974,"8,05%","2,84",642,"51,00","35,79",
Total: Rendimiento máximo,,,,,PEN,,,Rendimiento máximo,"0,00",0, --,0,0,"0,00","0,00",
Total: Display,,,,,PEN,,,Display,"0,00",0, --,0,0,"0,00","0,00",
