Informe de campaña
1 de julio de 2026 - 31 de julio de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre de presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Tipo de campaña,Coste,Impr.,CTR,CPC medio,Clics,Conversiones,Coste/conv.,Nivel de optimización
Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"3481,86",6.216,"9,65%","5,80",600,"63,00","55,27","96,71"
Total: Campañas, --, --, --, --,PEN, --,, --,"3481,86",6.216,"9,65%","5,80",600,"63,00","55,27", --
Total: Cuenta,,,,,PEN,,,,"3481,86",6.216,"9,65%","5,80",600,"63,00","55,27",
Total: Rendimiento máximo,,,,,PEN,,,Rendimiento máximo,"0,00",0, --,0,0,"0,00","0,00",
Total: Display,,,,,PEN,,,Display,"0,00",0, --,0,0,"0,00","0,00",
Total: Buscar,,,,,PEN,,,Buscar,"3481,86",6.216,"9,65%","5,80",600,"63,00","55,27",
