Informe de campaña
1 de junio de 2026 - 30 de junio de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre de presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Tipo de campaña,Coste,Impr.,CTR,CPC medio,Clics,Conversiones,Coste/conv.,Nivel de optimización
Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"4453,01",7.127,"8,77%","7,12",625,"54,96","81,03","96,71"
Total: Campañas, --, --, --, --,PEN, --,, --,"4453,01",7.127,"8,77%","7,12",625,"54,96","81,03", --
Total: Cuenta,,,,,PEN,,,,"4453,01",7.127,"8,77%","7,12",625,"54,96","81,03",
Total: Rendimiento máximo,,,,,PEN,,,Rendimiento máximo,"0,00",0, --,0,0,"0,00","0,00",
Total: Display,,,,,PEN,,,Display,"0,00",0, --,0,0,"0,00","0,00",
Total: Buscar,,,,,PEN,,,Buscar,"4453,01",7.127,"8,77%","7,12",625,"54,96","81,03",
