Fecha,Impresiones
"jue, 1 ene 2026",309
"vie, 2 ene 2026",770
"sáb, 3 ene 2026",535
"dom, 4 ene 2026",638
"lun, 5 ene 2026",800
"mar, 6 ene 2026",749
"mié, 7 ene 2026",636
"jue, 8 ene 2026",692
"vie, 9 ene 2026",1.099
"sáb, 10 ene 2026",533
"dom, 11 ene 2026",587
"lun, 12 ene 2026",701
"mar, 13 ene 2026",691
"mié, 14 ene 2026",820
"jue, 15 ene 2026",676
"vie, 16 ene 2026",974
"sáb, 17 ene 2026",634
"dom, 18 ene 2026",689
"lun, 19 ene 2026",666
"mar, 20 ene 2026",527
"mié, 21 ene 2026",424
"jue, 22 ene 2026",456
"vie, 23 ene 2026",425
"sáb, 24 ene 2026",489
"dom, 25 ene 2026",389
"lun, 26 ene 2026",607
"mar, 27 ene 2026",527
"mié, 28 ene 2026",499
"jue, 29 ene 2026",555
"vie, 30 ene 2026",520
"sáb, 31 ene 2026",524
